List Price,Address,City,Beds/Baths,Approx Living Area,DOM,Sold Price,Sold Date
"$19,750.00",4627 FRIDEN DR,JACKSONVILLE,2 Bed/1(0),688,20,"$17,500.00",08/23/19
"$22,900.00",4243 SCOTT AVE,FORT MYERS,5 Bed/2(0),"1,784",1,"$20,000.00",07/02/19
"$24,900.00",1126 GAMBLE ST NW,MOORE HAVEN,3 Bed/1(1),972,11,"$24,900.00",12/30/19
"$29,950.00",2777 INDIANWOOD DR,NORTH FORT MYERS,2 Bed/2(0),"1,152",3,"$25,000.00",06/28/19
"$24,900.00",3058 LINCOLN BLVD,FORT MYERS,3 Bed/1(0),"1,100",2,"$27,000.00",10/31/19
"$26,000.00",840 KISSIMMEE AVE,LABELLE,3 Bed/1(0),912,29,"$28,051.00",09/10/19
"$45,000.00",1106 ROSE AVE,FORT MYERS,2 Bed/1(0),936,1,"$35,000.00",12/23/19
"$40,000.00",3242 C ST,FORT MYERS,3 Bed/1(0),"1,215",6,"$35,000.00",12/06/19
"$39,900.00",537 STATE ST,NORTH FORT MYERS,2 Bed/1(0),958,2,"$37,500.00",09/13/19
"$39,900.00",742 MARSH AVE,FORT MYERS,2 Bed/1(0),924,15,"$39,000.00",08/30/19
"$50,000.00",3240 DALE ST,FORT MYERS,3 Bed/2(0),984,2,"$40,000.00",12/20/19
"$39,900.00",3217 11TH ST SW,LEHIGH ACRES,2 Bed/1(0),864,9,"$40,000.00",11/13/19
"$49,900.00",23210 AVENUE B,ALVA,2 Bed/1(0),912,11,"$42,000.00",10/01/19
"$45,000.00",2042 14TH ST S,ST. PETERSBURG,3 Bed/1(0),858,3,"$46,100.00",11/01/19
"$45,000.00",1401 NW 2ND ST,CAPE CORAL,5 Bed/3(0),"2,594",1,"$47,000.00",10/16/19
"$70,000.00",114 LUCILLE AVE,FORT MYERS,3 Bed/1(0),"1,156",2,"$50,000.00",10/24/19
"$100,000.00",112 ROWLAND RD,LEHIGH ACRES,2 Bed/2(0),"1,122",36,"$50,000.00",10/03/19
"$55,000.00",401 AVENUE S SW,MOORE HAVEN,2 Bed/2(0),"1,442",60,"$50,000.00",10/23/19
"$50,000.00",1802 E COMANCHE ST,TAMPA,2 Bed/1(0),752,3,"$50,000.00",11/01/19
"$55,000.00",1706 STARNES AVE,FORT MYERS,3 Bed/1(0),"1,094",18,"$50,109.00",07/15/19
"$33,300.00",1102 VIRGINIA AVE,CLEWISTON,3 Bed/2(0),"1,598",16,"$51,000.00",10/30/19
"$69,900.00",522 CAROLINA AVE,FORT MYERS,2 Bed/1(0),"1,264",0,"$52,500.00",11/12/19
"$55,900.00",2926 CENTRAL AVE,FORT MYERS,2 Bed/1(0),884,1,"$53,000.00",12/13/19
"$55,000.00",3218 C ST,FORT MYERS,2 Bed/1(0),696,33,"$55,000.00",09/20/19
"$54,900.00",1040 WALLEN ST,LABELLE,2 Bed/1(0),"1,496",8,"$57,000.00",09/12/19
"$75,000.00",4015 RAINBOW CIR,LABELLE,3 Bed/2(0),"1,176",17,"$58,800.00",10/30/19
"$99,000.00",4106 22ND ST SW,LEHIGH ACRES,2 Bed/1(0),"1,056",37,"$63,000.00",12/20/19
"$59,000.00",424 JONES ST,IMMOKALEE,2 Bed/1(0),"1,120",11,"$63,500.00",06/27/19
"$69,900.00",3730 HIGHLAND AVE,FORT MYERS,3 Bed/1(0),936,1,"$65,000.00",11/22/19
"$69,999.00",608 ADAMS AVE,FORT MYERS,2 Bed/1(0),"1,000",13,"$65,000.00",10/25/19
"$65,000.00",841 FORDSON AVE,LABELLE,3 Bed/3(0),"1,849",23,"$65,000.00",09/27/19
"$57,500.00",1684 SE TANGELO DR,ARCADIA,3 Bed/2(0),"1,448",16,"$65,207.00",10/30/19
"$77,000.00",5413 MARINER BLVD,SPRING HILL,2 Bed/2(0),"1,036",16,"$66,000.00",11/01/19
"$94,000.00",3605 40TH ST SW,LEHIGH ACRES,4 Bed/2(0),"1,152",65,"$67,000.00",12/23/19
"$79,000.00",506 YORK RD,LEHIGH ACRES,2 Bed/1(0),997,16,"$67,500.00",12/19/19
"$59,900.00",4110 7TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,130",10,"$68,000.00",10/18/19
"$79,900.00",3319 7TH ST SW,LEHIGH ACRES,3 Bed/1(0),972,25,"$69,000.00",11/22/19
"$108,000.00",309 DARTMOUTH AVE,LEHIGH ACRES,2 Bed/2(0),"1,198",118,"$70,000.00",11/22/19
"$74,900.00",283 GRANADA BLVD,FORT MYERS,3 Bed/1(0),"1,020",35,"$71,000.00",12/10/19
"$85,000.00",2008 ANCHOR LN,LABELLE,3 Bed/1(0),"1,660",6,"$73,000.00",12/17/19
"$79,000.00",3802 3RD ST W,LEHIGH ACRES,2 Bed/1(0),868,69,"$73,000.00",11/26/19
"$115,000.00",1735 HANSON ST,FORT MYERS,3 Bed/1(0),"1,667",2,"$75,000.00",10/09/19
"$69,900.00",400 OREGON RD W,LEHIGH ACRES,3 Bed/2(0),"1,411",46,"$75,000.00",08/19/19
"$84,900.00",17 VINEYARD ST,LEHIGH ACRES,1 Bed/1(0),645,28,"$77,000.00",08/28/19
"$84,900.00",3741 HIGHLAND AVE,FORT MYERS,3+Den/1(0),"1,144",3,"$78,000.00",12/06/19
"$84,500.00",537 SACRAMENTO ST,NORTH FORT MYERS,3 Bed/1(0),920,6,"$78,500.00",11/21/19
"$100,000.00",52 CABANA AVE,NORTH FORT MYERS,2 Bed/1(0),572,15,"$79,000.00",12/16/19
"$80,000.00",3019 SECOND ST,FORT MYERS,2 Bed/1(0),768,27,"$80,000.00",10/11/19
"$85,500.00",942 HYACINTH ST,NORTH FORT MYERS,3 Bed/2(0),920,14,"$80,000.00",09/06/19
"$100,000.00",36 WESTMINSTER ST N,LEHIGH ACRES,2 Bed/2(0),"1,022",78,"$82,400.00",11/28/19
"$95,000.00",2307 UNITY AVE,FORT MYERS,1 Bed/1(0),624,30,"$84,000.00",12/09/19
"$90,000.00",316 S SAN BENITO ST,CLEWISTON,3+Den/3(0),"1,032",26,"$84,500.00",07/19/19
"$95,900.00",184 KARLOW AVE #0,LEHIGH ACRES,2 Bed/2(0),"1,056",6,"$84,900.00",10/17/19
