,,List Price,Address,City,Beds/Baths,Approx Living Area,DOM,Sold Price,Sold Date
,,"$22,000.00",727 HOLMES AVE,LEHIGH ACRES,0 Bed/0(0),"10,000",--,"$22,000.00",10/25/22
,,"$35,000.00",17248 HIPPITY HOP CT,FORT MYERS,0 Bed/0(0),408,8,"$40,000.00",12/16/22
,,"$59,000.00",244 REDLIN ST,NORTH FORT MYERS,2 Bed/1(0),"1,020",1,"$40,000.00",11/21/22
,,"$48,000.00",1216 LAKE AVE,LEHIGH ACRES,0 Bed/0(0),"43,255",--,"$48,000.00",08/11/22
,,"$50,000.00",13671 GANNET DR,FORT MYERS,3 Bed/2(0),"1,056",0,"$50,000.00",12/30/22
,,"$89,500.00",455 CLARK ST,NORTH FORT MYERS,2 Bed/1(0),735,7,"$65,000.00",09/21/22
,,"$75,000.00",6340 ROYAL WOODS DR #500,FORT MYERS,2 Bed/2(0),"1,007",0,"$75,000.00",11/22/22
,,"$79,000.00",417 E TRINIDAD AVE,CLEWISTON,3 Bed/1(0),"1,040",4,"$79,000.00",08/15/22
,,"$80,000.00",696 MUSCOGEE DR,NORTH FORT MYERS,2 Bed/2(0),"1,008",0,"$80,000.00",11/29/22
,,"$99,900.00",28285 TRISTAN DR,PUNTA GORDA,2 Bed/1(1),"1,104",179,"$85,000.00",12/30/22
,,"$90,000.00",15641 JOHN MORRIS RD,FORT MYERS,2 Bed/2(0),"1,629",51,"$90,000.00",12/30/22
,,"$70,000.00",18509 IRIS RD,FORT MYERS,2+Den/1(0),"1,273",2,"$100,000.00",09/26/22
,,"$115,900.00",2113 DORA ST,FORT MYERS,3 Bed/1(0),781,21,"$105,000.00",12/12/22
,,"$109,900.00",309 BURLAND ST,PUNTA GORDA,2 Bed/1(0),964,11,"$109,900.00",10/27/22
,,"$90,000.00",240 LABELLE AVE,FORT MYERS,2+Den/1(0),936,3,"$110,000.00",12/30/22
,,"$125,000.00",320 MONTGOMERY AVE,FORT MYERS,3 Bed/2(0),"1,290",3,"$110,000.00",12/22/22
,,"$110,000.00",6484 ROYAL WOODS DR,FORT MYERS,2 Bed/2(0),"1,153",0,"$110,000.00",11/22/22
,,"$119,900.00",178 EVERGREEN RD,NORTH FORT MYERS,2 Bed/1(0),624,4,"$113,000.00",10/25/22
,,"$129,900.00",1109 MICHAEL AVE,LEHIGH ACRES,1 Bed/1(0),640,18,"$114,900.00",12/16/22
,,"$129,900.00",2727 GARDEN ST,NORTH FORT MYERS,2 Bed/1(0),560,23,"$115,000.00",10/13/22
,,"$139,900.00",2975 SAINT CHARLES ST,FORT MYERS,3 Bed/1(0),"1,174",28,"$125,000.00",08/25/22
,,"$149,900.00",290 FORT THOMPSON AVE,LABELLE,2 Bed/1(0),"1,008",0,"$125,000.00",11/04/22
,,"$125,000.00",3909 3RD ST SW,LEHIGH ACRES,2 Bed/1(0),852,--,"$125,000.00",05/18/22
,,"$170,000.00",2334 DORSEY DR,PUNTA GORDA,3 Bed/2(0),"1,596",9,"$125,000.00",11/30/22
,,"$129,000.00",8050 CLEAVES RD,NORTH FORT MYERS,2 Bed/1(0),834,8,"$129,000.00",12/14/22
,,"$149,900.00",1103 LURAY AVE,FORT MYERS,2 Bed/1(0),790,45,"$135,000.00",11/11/22
,,"$165,000.00",3475 EDGEWOOD AVE,FORT MYERS,2 Bed/1(0),768,10,"$135,000.00",08/29/22
,,"$128,900.00",3639 SEMINOLE AVE,FORT MYERS,2 Bed/1(0),840,31,"$136,400.00",09/21/22
,,"$130,000.00",1381 SUNRISE DR,NORTH FORT MYERS,2 Bed/1(0),"1,040",5,"$138,000.00",11/23/22
,,"$160,000.00",6495 ROYAL WOODS DR,FORT MYERS,2 Bed/2(0),"1,159",0,"$140,000.00",11/30/22
,,"$149,999.00",3056 SECOND ST,FORT MYERS,3 Bed/1(0),864,39,"$140,000.00",10/10/22
,,"$169,900.00",1702 STATE AVE,LEHIGH ACRES,3 Bed/2(0),"1,346",32,"$140,000.00",09/22/22
,,"$169,000.00",3119 APACHE ST,FORT MYERS,3 Bed/3(0),"1,357",3,"$142,000.00",11/04/22
,,"$137,000.00",4435 GLENWOOD AVE,FORT MYERS,3 Bed/2(0),942,16,"$145,000.00",12/09/22
,,"$140,000.00",5071 LILS LN,FORT MYERS,3 Bed/1(0),"1,092",1,"$145,000.00",07/29/22
,,"$145,000.00",2205 CROTON CT,LEHIGH ACRES,2+Den/1(0),900,15,"$145,000.00",09/27/22
,,"$145,500.00",6620 E TROPICANA DR,FORT MYERS,3 Bed/2(0),"1,248",--,"$145,500.00",05/23/22
,,"$149,000.00",335 IMPERIAL WILDERN BLVD #335,NAPLES,2 Bed/2(0),650,3,"$149,000.00",11/15/22
,,"$149,900.00",2809 1ST ST SW,LEHIGH ACRES,4 Bed/2(0),"1,448",3,"$149,900.00",08/10/22
,,"$149,900.00",448 SANTA CRUZ ST,NORTH FORT MYERS,2 Bed/1(0),572,15,"$149,900.00",11/18/22
,,"$220,000.00",503 NW 2ND AVE,CAPE CORAL,3 Bed/2(0),"1,612",33,"$150,000.00",09/16/22
,,"$149,000.00",420 S HACIENDA ST,CLEWISTON,2 Bed/2(0),840,2,"$150,000.00",09/07/22
,,"$150,000.00",6433 ROYAL WOODS DR,FORT MYERS,3 Bed/2(0),"1,378",0,"$150,000.00",12/07/22
,,"$150,000.00",3318 THOMAS ST,FORT MYERS,2 Bed/1(0),624,2,"$150,000.00",08/01/22
,,"$175,000.00",203 LEE BLVD,LEHIGH ACRES,3 Bed/2(0),880,19,"$150,000.00",12/21/22
,,"$159,500.00",3606 21ST ST SW,LEHIGH ACRES,3 Bed/1(0),912,7,"$150,000.00",09/17/22
,,"$200,000.00",5221 7TH ST W,LEHIGH ACRES,3 Bed/2(0),"1,106",5,"$150,000.00",10/07/22
,,"$150,000.00",4877 ORANGE GROVE BLVD,NORTH FORT MYERS,2 Bed/1(0),"1,012",3,"$150,000.00",12/15/22
,,"$250,000.00",469 STIPE ST,NORTH FORT MYERS,2 Bed/1(0),"1,043",17,"$150,000.00",11/18/22
,,"$214,500.00",2009 MARK AVE,PUNTA GORDA,2 Bed/1(0),"1,432",7,"$150,000.00",12/16/22
,,"$162,000.00",907 RAULERSON RD,IMMOKALEE,3 Bed/1(0),816,2,"$152,000.00",09/16/22
,,"$169,900.00",2012 LIGHTHOUSE CT,LABELLE,2 Bed/1(0),804,3,"$155,000.00",08/29/22
,,"$158,000.00",6481 ROYAL WOODS DR,FORT MYERS,2 Bed/2(0),"1,159",0,"$158,250.00",11/18/22
,,"$159,900.00",449 ELLIS ST,NORTH FORT MYERS,2 Bed/1(0),567,35,"$159,000.00",09/16/22
,,"$159,300.00",158 4TH ST,NAPLES,2+Den/2(0),950,--,"$159,300.00",08/11/22
,,"$169,900.00",2901 10TH ST SW,LEHIGH ACRES,2 Bed/1(0),"1,032",9,"$159,400.00",08/18/22
,,"$199,999.00",4802 DUERA MAE DR,FORT MYERS,3 Bed/1(0),988,18,"$160,000.00",12/21/22
,,"$165,000.00",133 GIBSON ST,FORT MYERS,3 Bed/2(0),"1,256",20,"$160,000.00",12/30/22
,,"$119,900.00",3036 MARKET ST,FORT MYERS,2 Bed/1(0),"1,284",11,"$160,000.00",08/12/22
,,"$160,000.00",2704 23RD ST SW,LEHIGH ACRES,4 Bed/2(1),"1,560",4,"$160,000.00",07/19/22
,,"$170,000.00",211 PURDUE ST,LEHIGH ACRES,2 Bed/2(0),690,4,"$162,225.00",10/11/22
,,"$145,000.00",6466 ROYAL WOODS DR,FORT MYERS,2 Bed/2(0),"1,138",4,"$163,500.00",12/30/22
,,"$159,900.00",1126 GAMBLE ST NW,MOORE HAVEN,3 Bed/1(1),912,12,"$164,000.00",09/19/22
,,"$199,000.00",18633 MATANZAS RD,FORT MYERS,2 Bed/1(0),"1,041",21,"$165,000.00",11/30/22
,,"$179,900.00",934 ORANGE BLOSSOM LN,NORTH FORT MYERS,3 Bed/1(0),"1,130",7,"$165,000.00",08/16/22
,,"$180,000.00",523 E OSCEOLA AVE,CLEWISTON,2 Bed/1(0),921,10,"$167,000.00",12/16/22
,,"$166,800.00",529 W ALVERDEZ AVE,CLEWISTON,3 Bed/1(0),975,6,"$167,000.00",08/29/22
,,"$170,000.00",3405 27TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,853",5,"$167,000.00",09/07/22
,,"$169,900.00",3310 3RD ST W,LEHIGH ACRES,3 Bed/2(0),"1,308",15,"$169,900.00",08/17/22
,,"$190,000.00",300 DELRAY AVE,FORT MYERS,3 Bed/2(0),"1,044",15,"$170,000.00",10/28/22
,,"$199,900.00",3720 LORA ST,FORT MYERS,3 Bed/1(0),816,74,"$170,000.00",11/25/22
,,"$170,000.00",1921 FLAMINGO DR,NORTH FORT MYERS,2 Bed/2(0),945,4,"$170,000.00",11/16/22
,,"$180,000.00",8919 ANDOVER ST,FORT MYERS,3 Bed/2(0),"1,084",0,"$171,000.00",09/08/22
,,"$180,000.00",1104 GULF ST,MOORE HAVEN,4 Bed/1(1),"1,240",15,"$172,000.00",11/07/22
,,"$169,900.00",4989 HOWARD ST,FORT MYERS,2 Bed/1(0),792,4,"$173,900.00",09/23/22
